Client,Lat,Lng
CAI141364,30.04550164,31.21172521
CAI141365,30.04727216,31.21826998
CAI141366,30.03843978,31.2209313
CAI141367,30.03352946,31.21946013
CAI141368,30.02917245,31.21837535
CAI141369,30.02833138,31.21834987
CAI141370,30.02759619,31.21118983
CAI141371,30.02973771,31.21011908
CAI141372,30.03039206,31.21208213
CAI141373,30.03687609,31.21113035
CAI141374,30.04086169,31.21071394
CAI141375,30.04377653,31.21166573
CAI141376,30.04550164,31.21172521
